"Gene.stable.ID"	"Gene.name"	"Gene.name.uniq"	"in.dataset"	"ZFIN.ID"	"Gene.description"
"5557"	"ENSDARG00000061899"	"iqub"	"iqub"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-110421-1\")"	"IQ motif and ubiquitin domain containing [Source:ZFIN;Acc:ZDB-GENE-110421-1]"
"5559"	"ENSDARG00000035422"	"cyr61l1"	"cyr61l1"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050417-136\")"	"cysteine-rich, angiogenic inducer 61 like 1 [Source:ZFIN;Acc:ZDB-GENE-050417-136]"
"5586"	"ENSDARG00000014943"	"kif23"	"kif23"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-991019-4\")"	"kinesin family member 23 [Source:ZFIN;Acc:ZDB-GENE-991019-4]"
"5625"	"ENSDARG00000036044"	"rps20"	"rps20"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-2284\")"	"ribosomal protein S20 [Source:ZFIN;Acc:ZDB-GENE-040426-2284]"
"5647"	"ENSDARG00000039452"	"hk1"	"hk1"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-2848\")"	"hexokinase 1 [Source:ZFIN;Acc:ZDB-GENE-040426-2848]"
"5656"	"ENSDARG00000055014"	"si:dkey-33m11.8"	"si:dkey-33m11.8"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-141215-49\")"	"si:dkey-33m11.8 [Source:ZFIN;Acc:ZDB-GENE-141215-49]"
"5661"	"ENSDARG00000013853"	"lmo4a"	"lmo4a"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-010702-1\")"	"LIM domain only 4a [Source:ZFIN;Acc:ZDB-GENE-010702-1]"
"5667"	"ENSDARG00000099401"	"ccl33.3"	"ccl33.3"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-081104-131\")"	"chemokine (C-C motif) ligand 33, duplicate 3 [Source:ZFIN;Acc:ZDB-GENE-081104-131]"
"5668"	"ENSDARG00000069675"	"her8.2"	"her8.2"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-060815-4\")"	"hairy-related 8.2 [Source:ZFIN;Acc:ZDB-GENE-060815-4]"
"5675"	"ENSDARG00000024967"	"fancg"	"fancg"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050417-103\")"	"Fanconi anemia, complementation group G [Source:ZFIN;Acc:ZDB-GENE-050417-103]"
"5698"	"ENSDARG00000058454"	"dynll1"	"dynll1"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-1961\")"	"dynein, light chain, LC8-type 1 [Source:ZFIN;Acc:ZDB-GENE-040426-1961]"
"5702"	"ENSDARG00000089697"	"nfe2l2b"	"nfe2l2b"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-120320-3\")"	"nuclear factor, erythroid 2-like 2b [Source:ZFIN;Acc:ZDB-GENE-120320-3]"
"5735"	"ENSDARG00000012450"	"vmp1"	"vmp1"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-8733\")"	"vacuole membrane protein 1 [Source:ZFIN;Acc:ZDB-GENE-030131-8733]"
"5738"	"ENSDARG00000103025"	"hmgcs1"	"hmgcs1"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-1042\")"	"3-hydroxy-3-methylglutaryl-CoA synthase 1 (soluble) [Source:ZFIN;Acc:ZDB-GENE-040426-1042]"
"5742"	"ENSDARG00000100822"	"mapk15"	"mapk15"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050522-307\")"	"mitogen-activated protein kinase 15 [Source:ZFIN;Acc:ZDB-GENE-050522-307]"
"5771"	"ENSDARG00000016153"	"dag1"	"dag1"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-021223-1\")"	"dystroglycan 1 [Source:ZFIN;Acc:ZDB-GENE-021223-1]"
"5782"	"ENSDARG00000044562"	"cycsb"	"cycsb"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040625-38\")"	"cytochrome c, somatic b [Source:ZFIN;Acc:ZDB-GENE-040625-38]"
"5798"	"ENSDARG00000105582"	"CT027807.1"	"CT027807.1"	TRUE	"=HYPERLINK(\"https://zfin.org/\")"	""
"5817"	"ENSDARG00000100630"	"lye"	"lye"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-120104-1\")"	"lymphocyte antigen-6, epidermis [Source:ZFIN;Acc:ZDB-GENE-120104-1]"
"5822"	"ENSDARG00000092310"	"si:ch211-199g17.2"	"si:ch211-199g17.2"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-060503-396\")"	"si:ch211-199g17.2 [Source:ZFIN;Acc:ZDB-GENE-060503-396]"
"5832"	"ENSDARG00000075622"	"zgc:174938"	"zgc:174938"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-070928-44\")"	"zgc:174938 [Source:ZFIN;Acc:ZDB-GENE-070928-44]"
"5840"	"ENSDARG00000019856"	"atp1a1b"	"atp1a1b"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-001212-5\")"	"ATPase, Na+/K+ transporting, alpha 1b polypeptide [Source:ZFIN;Acc:ZDB-GENE-001212-5]"
"5850"	"ENSDARG00000075045"	"cxcl18b"	"cxcl18b"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090313-165\")"	"chemokine (C-X-C motif) ligand 18b [Source:ZFIN;Acc:ZDB-GENE-090313-165]"
"5853"	"ENSDARG00000007275"	"si:ch211-251b21.1"	"si:ch211-251b21.1"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-060809-5\")"	"si:ch211-251b21.1 [Source:ZFIN;Acc:ZDB-GENE-060809-5]"
"5863"	"ENSDARG00000040556"	"ift20"	"ift20"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040614-2\")"	"intraflagellar transport 20 homolog (Chlamydomonas) [Source:ZFIN;Acc:ZDB-GENE-040614-2]"
"5895"	"ENSDARG00000076554"	"cdkn1a"	"cdkn1a"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-070705-7\")"	"cyclin-dependent kinase inhibitor 1A [Source:ZFIN;Acc:ZDB-GENE-070705-7]"
"5899"	"ENSDARG00000009401"	"vcanb"	"vcanb"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-2185\")"	"versican b [Source:ZFIN;Acc:ZDB-GENE-030131-2185]"
"5906"	"ENSDARG00000044827"	"wnt7aa"	"wnt7aa"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-051129-1\")"	"wingless-type MMTV integration site family, member 7Aa [Source:ZFIN;Acc:ZDB-GENE-051129-1]"
"5912"	"ENSDARG00000044691"	"ppp1r3b"	"ppp1r3b"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-5496\")"	"protein phosphatase 1, regulatory subunit 3B [Source:ZFIN;Acc:ZDB-GENE-030131-5496]"
"5917"	"ENSDARG00000055647"	"ftr82"	"ftr82"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030219-207\")"	"finTRIM family, member 82 [Source:ZFIN;Acc:ZDB-GENE-030219-207]"
"5930"	"ENSDARG00000093622"	"spc24"	"spc24"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050522-456\")"	"SPC24, NDC80 kinetochore complex component, homolog (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-050522-456]"
"5937"	"ENSDARG00000096562"	"wu:fj29h11"	"wu:fj29h11"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-7558\")"	"wu:fj29h11 [Source:ZFIN;Acc:ZDB-GENE-030131-7558]"
"5943"	"ENSDARG00000055715"	"capn8"	"capn8"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050522-279\")"	"calpain 8 [Source:ZFIN;Acc:ZDB-GENE-050522-279]"
"5947"	"ENSDARG00000002613"	"rpa3"	"rpa3"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-977\")"	"replication protein A3 [Source:ZFIN;Acc:ZDB-GENE-040426-977]"
"5974"	"ENSDARG00000004840"	"rassf1"	"rassf1"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040912-14\")"	"Ras association (RalGDS/AF-6) domain family 1 [Source:ZFIN;Acc:ZDB-GENE-040912-14]"
"5987"	"ENSDARG00000016773"	"cishb"	"cishb"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-080204-120\")"	"cytokine inducible SH2-containing protein b [Source:ZFIN;Acc:ZDB-GENE-080204-120]"
"6020"	"ENSDARG00000101540"	"fgf3"	"fgf3"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-980526-178\")"	"fibroblast growth factor 3 [Source:ZFIN;Acc:ZDB-GENE-980526-178]"
"6034"	"ENSDARG00000105592"	"CR936442.1"	"CR936442.1"	TRUE	"=HYPERLINK(\"https://zfin.org/\")"	""
"6046"	"ENSDARG00000056407"	"irf8"	"irf8"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040718-367\")"	"interferon regulatory factor 8 [Source:ZFIN;Acc:ZDB-GENE-040718-367]"
"6054"	"ENSDARG00000069453"	"zgc:113314"	"zgc:113314"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050913-19\")"	"zgc:113314 [Source:ZFIN;Acc:ZDB-GENE-050913-19]"
"6055"	"ENSDARG00000086826"	"sult6b1"	"sult6b1"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050417-228\")"	"sulfotransferase family, cytosolic, 6b, member 1 [Source:ZFIN;Acc:ZDB-GENE-050417-228]"
"6062"	"ENSDARG00000058969"	"cntnap2a"	"cntnap2a"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-120328-3\")"	"contactin associated protein-like 2a [Source:ZFIN;Acc:ZDB-GENE-120328-3]"
"6089"	"ENSDARG00000056167"	"hspe1"	"hspe1"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-000906-2\")"	"heat shock 10 protein 1 [Source:ZFIN;Acc:ZDB-GENE-000906-2]"
"6114"	"ENSDARG00000096755"	"si:ch211-202p1.5"	"si:ch211-202p1.5"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-080917-41\")"	"si:ch211-202p1.5 [Source:ZFIN;Acc:ZDB-GENE-080917-41]"
"6162"	"ENSDARG00000002172"	"aplnra"	"aplnra"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-060929-512\")"	"apelin receptor a [Source:ZFIN;Acc:ZDB-GENE-060929-512]"
"6165"	"ENSDARG00000101455"	"si:ch211-284k5.2"	"si:ch211-284k5.2"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-131127-514\")"	"si:ch211-284k5.2 [Source:ZFIN;Acc:ZDB-GENE-131127-514]"
"6206"	"ENSDARG00000104353"	"nop58"	"nop58"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-2140\")"	"NOP58 ribonucleoprotein homolog (yeast) [Source:ZFIN;Acc:ZDB-GENE-040426-2140]"
"6252"	"ENSDARG00000009727"	"twf2b"	"twf2b"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050522-238\")"	"twinfilin actin-binding protein 2b [Source:ZFIN;Acc:ZDB-GENE-050522-238]"
"6327"	"ENSDARG00000097952"	"si:ch211-284e13.14"	"si:ch211-284e13.14"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-131127-582\")"	"si:ch211-284e13.14 [Source:ZFIN;Acc:ZDB-GENE-131127-582]"
"6337"	"ENSDARG00000058127"	"hcfc2"	"hcfc2"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050417-203\")"	"host cell factor C2 [Source:ZFIN;Acc:ZDB-GENE-050417-203]"
"6354"	"ENSDARG00000051748"	"ccnd2a"	"ccnd2a"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-070424-30\")"	"cyclin D2, a [Source:ZFIN;Acc:ZDB-GENE-070424-30]"
"6386"	"ENSDARG00000089578"	"xrra1"	"xrra1"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-101216-2\")"	"X-ray radiation resistance associated 1 [Source:ZFIN;Acc:ZDB-GENE-101216-2]"
"6393"	"ENSDARG00000102975"	"hmp19"	"hmp19"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-3694\")"	"HMP19 protein [Source:ZFIN;Acc:ZDB-GENE-030131-3694]"
"6396"	"ENSDARG00000094511"	"ccl20b"	"ccl20b"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-091204-95\")"	"chemokine (C-C motif) ligand 20b [Source:ZFIN;Acc:ZDB-GENE-091204-95]"
"6447"	"ENSDARG00000002445"	"prdm1a"	"prdm1a"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-2193\")"	"PR domain containing 1a, with ZNF domain [Source:ZFIN;Acc:ZDB-GENE-030131-2193]"
"6457"	"ENSDARG00000098911"	"zgc:153293"	"zgc:153293"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-060825-315\")"	"zgc:153293 [Source:ZFIN;Acc:ZDB-GENE-060825-315]"
"6534"	"ENSDARG00000101169"	"grap2b"	"grap2b"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-1485\")"	"GRB2-related adaptor protein 2b [Source:ZFIN;Acc:ZDB-GENE-040426-1485]"
"6536"	"ENSDARG00000098011"	"BX000438.2"	"BX000438.2"	TRUE	"=HYPERLINK(\"https://zfin.org/\")"	""
"6565"	"ENSDARG00000069230"	"IQCA1L"	"IQCA1L"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-061013-622\")"	"zgc:153738 [Source:ZFIN;Acc:ZDB-GENE-061013-622]"
"6588"	"ENSDARG00000032317"	"tox"	"tox"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-070912-181\")"	"thymocyte selection-associated high mobility group box [Source:ZFIN;Acc:ZDB-GENE-070912-181]"
"6595"	"ENSDARG00000059360"	"srsf3b"	"srsf3b"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-071005-2\")"	"serine/arginine-rich splicing factor 3b [Source:ZFIN;Acc:ZDB-GENE-071005-2]"
"6624"	"ENSDARG00000076667"	"ccng1"	"ccng1"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-020322-1\")"	"cyclin G1 [Source:ZFIN;Acc:ZDB-GENE-020322-1]"
"6634"	"ENSDARG00000086222"	"nat16"	"nat16"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030219-43\")"	"N-acetyltransferase 16 [Source:ZFIN;Acc:ZDB-GENE-030219-43]"
"6645"	"ENSDARG00000008886"	"msx1b"	"msx1b"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-980526-26\")"	"muscle segment homeobox 1b [Source:ZFIN;Acc:ZDB-GENE-980526-26]"
"6695"	"ENSDARG00000046098"	"ebp"	"ebp"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040718-12\")"	"emopamil binding protein (sterol isomerase) [Source:ZFIN;Acc:ZDB-GENE-040718-12]"
"6730"	"ENSDARG00000090708"	"si:dkey-28g23.6"	"si:dkey-28g23.6"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-131119-80\")"	"si:dkey-28g23.6 [Source:ZFIN;Acc:ZDB-GENE-131119-80]"
"6765"	"ENSDARG00000074947"	"fam26e.1"	"fam26e.1"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-070410-4\")"	"family with sequence similarity 26, member E, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-070410-4]"
"6779"	"ENSDARG00000061120"	"slc43a2b"	"slc43a2b"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-041212-6\")"	"solute carrier family 43 (amino acid system L transporter), member 2b [Source:ZFIN;Acc:ZDB-GENE-041212-6]"
"6791"	"ENSDARG00000005191"	"ahcy"	"ahcy"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-031219-6\")"	"adenosylhomocysteinase [Source:ZFIN;Acc:ZDB-GENE-031219-6]"
"6832"	"ENSDARG00000003902"	"ctsl.1"	"ctsl.1"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040718-61\")"	"cathepsin L.1 [Source:ZFIN;Acc:ZDB-GENE-040718-61]"
"6859"	"ENSDARG00000089399"	"tmem176l.2"	"tmem176l.2"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-080829-12\")"	"transmembrane protein 176l.2 [Source:ZFIN;Acc:ZDB-GENE-080829-12]"
"6878"	"ENSDARG00000067992"	"si:dkey-31e10.5"	"si:dkey-31e10.5"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-121214-76\")"	"si:dkey-31e10.5 [Source:ZFIN;Acc:ZDB-GENE-121214-76]"
"6882"	"ENSDARG00000026865"	"fam107b"	"fam107b"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-031030-12\")"	"family with sequence similarity 107, member B [Source:ZFIN;Acc:ZDB-GENE-031030-12]"
"6883"	"ENSDARG00000088398"	"tmem107l"	"tmem107l"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090313-269\")"	"transmembrane protein 107 like [Source:ZFIN;Acc:ZDB-GENE-090313-269]"
"6884"	"ENSDARG00000037455"	"ugt8"	"ugt8"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-060616-129\")"	"UDP glycosyltransferase 8 [Source:ZFIN;Acc:ZDB-GENE-060616-129]"
"6892"	"ENSDARG00000043395"	"crip3"	"crip3"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-130530-620\")"	"cysteine-rich protein 3 [Source:ZFIN;Acc:ZDB-GENE-130530-620]"
"6895"	"ENSDARG00000091889"	"CR812481.1"	"CR812481.1"	TRUE	"=HYPERLINK(\"https://zfin.org/\")"	""
"6922"	"ENSDARG00000074323"	"efcab2"	"efcab2"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-070521-5\")"	"EF-hand calcium binding domain 2 [Source:ZFIN;Acc:ZDB-GENE-070521-5]"
"6923"	"ENSDARG00000070463"	"e2f3"	"e2f3"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-070112-882\")"	"E2F transcription factor 3 [Source:ZFIN;Acc:ZDB-GENE-070112-882]"
"6932"	"ENSDARG00000037284"	"ptges3a"	"ptges3a"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-2200\")"	"prostaglandin E synthase 3a (cytosolic) [Source:ZFIN;Acc:ZDB-GENE-040426-2200]"
"6936"	"ENSDARG00000069363"	"zgc:153142"	"zgc:153142"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-061013-507\")"	"zgc:153142 [Source:ZFIN;Acc:ZDB-GENE-061013-507]"
"6954"	"ENSDARG00000009285"	"ube2e1"	"ube2e1"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040801-183\")"	"ubiquitin-conjugating enzyme E2E 1 [Source:ZFIN;Acc:ZDB-GENE-071004-16]"
"6965"	"ENSDARG00000002479"	"ercc6l"	"ercc6l"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-060531-56\")"	"excision repair cross-complementation group 6-like [Source:ZFIN;Acc:ZDB-GENE-060531-56]"
"6968"	"ENSDARG00000097372"	"si:ch211-139d20.3"	"si:ch211-139d20.3"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-131127-287\")"	"si:ch211-139d20.3 [Source:ZFIN;Acc:ZDB-GENE-131127-287]"
"6981"	"ENSDARG00000039616"	"cenpk"	"cenpk"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090313-204\")"	"centromere protein K [Source:ZFIN;Acc:ZDB-GENE-090313-204]"
"6984"	"ENSDARG00000087238"	"si:ch211-161h7.4"	"si:ch211-161h7.4"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-091118-108\")"	"si:ch211-161h7.4 [Source:ZFIN;Acc:ZDB-GENE-091118-108]"
"6986"	"ENSDARG00000097959"	"si:dkey-248g15.3"	"si:dkey-248g15.3"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-131127-95\")"	"si:dkey-248g15.3 [Source:ZFIN;Acc:ZDB-GENE-131127-95]"
"6987"	"ENSDARG00000070108"	"dek"	"dek"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-060512-191\")"	"DEK proto-oncogene [Source:ZFIN;Acc:ZDB-GENE-060512-191]"
"6996"	"ENSDARG00000076420"	"dkk2"	"dkk2"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-080204-14\")"	"dickkopf WNT signaling pathway inhibitor 2 [Source:ZFIN;Acc:ZDB-GENE-080204-14]"
"7009"	"ENSDARG00000093857"	"si:dkey-79f11.10"	"si:dkey-79f11.10"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050302-48\")"	"si:dkey-79f11.10 [Source:ZFIN;Acc:ZDB-GENE-050302-48]"
"7032"	"ENSDARG00000037276"	"map9"	"map9"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-080225-36\")"	"microtubule-associated protein 9 [Source:ZFIN;Acc:ZDB-GENE-080225-36]"
"7053"	"ENSDARG00000068175"	"ing5b"	"ing5b"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030616-462\")"	"inhibitor of growth family, member 5b [Source:ZFIN;Acc:ZDB-GENE-030616-462]"
"7061"	"ENSDARG00000061468"	"ncaph"	"ncaph"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-070112-652\")"	"non-SMC condensin I complex, subunit H [Source:ZFIN;Acc:ZDB-GENE-070112-652]"
"7064"	"ENSDARG00000036912"	"edn1"	"edn1"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-000920-1\")"	"endothelin 1 [Source:ZFIN;Acc:ZDB-GENE-000920-1]"
"7068"	"ENSDARG00000002403"	"nusap1"	"nusap1"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030827-5\")"	"nucleolar and spindle associated protein 1 [Source:ZFIN;Acc:ZDB-GENE-030827-5]"
"7073"	"ENSDARG00000101637"	"ccnd1"	"ccnd1"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-980526-176\")"	"cyclin D1 [Source:ZFIN;Acc:ZDB-GENE-980526-176]"
"7121"	"ENSDARG00000093597"	"oip5"	"oip5"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090313-328\")"	"opa interacting protein 5 [Source:ZFIN;Acc:ZDB-GENE-090313-328]"
"7138"	"ENSDARG00000087556"	"pacrg"	"pacrg"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-041114-100\")"	"PARK2 co-regulated [Source:ZFIN;Acc:ZDB-GENE-041114-100]"
"7184"	"ENSDARG00000097118"	"CU693494.2"	"CU693494.2"	TRUE	"=HYPERLINK(\"https://zfin.org/\")"	""
"7210"	"ENSDARG00000039579"	"cfd"	"cfd"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050522-411\")"	"complement factor D (adipsin) [Source:ZFIN;Acc:ZDB-GENE-050522-411]"
"7217"	"ENSDARG00000056874"	"lygl1"	"lygl1"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040718-461\")"	"lysozyme g-like 1 [Source:ZFIN;Acc:ZDB-GENE-040718-461]"
"7229"	"ENSDARG00000042296"	"dlx5a"	"dlx5a"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-990415-49\")"	"distal-less homeobox 5a [Source:ZFIN;Acc:ZDB-GENE-990415-49]"
"7233"	"ENSDARG00000062518"	"ulk1a"	"ulk1a"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-080723-31\")"	"unc-51 like autophagy activating kinase 1a [Source:ZFIN;Acc:ZDB-GENE-080723-31]"
"7242"	"ENSDARG00000092358"	"BX469930.1"	"BX469930.1"	TRUE	"=HYPERLINK(\"https://zfin.org/\")"	""
"7254"	"ENSDARG00000078266"	"twist2"	"twist2"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-980526-235\")"	"twist2 [Source:ZFIN;Acc:ZDB-GENE-980526-235]"
"7277"	"ENSDARG00000056458"	"lhfpl5b"	"lhfpl5b"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-080220-51\")"	"lipoma HMGIC fusion partner-like 5b [Source:ZFIN;Acc:ZDB-GENE-080220-51]"
"7296"	"ENSDARG00000099247"	"si:dkey-68o6.5"	"si:dkey-68o6.5"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-5416\")"	"si:dkey-68o6.5 [Source:ZFIN;Acc:ZDB-GENE-030131-5416]"
"7300"	"ENSDARG00000030839"	"tescb"	"tescb"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-1903\")"	"tescalcin b [Source:ZFIN;Acc:ZDB-GENE-040426-1903]"
"7307"	"ENSDARG00000058413"	"rnaset2l"	"rnaset2l"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090819-2\")"	"ribonuclease T2, like [Source:ZFIN;Acc:ZDB-GENE-090819-2]"
"7333"	"ENSDARG00000011825"	"cetn3"	"cetn3"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050522-152\")"	"centrin 3 [Source:ZFIN;Acc:ZDB-GENE-050522-152]"
"7346"	"ENSDARG00000101115"	"med30"	"med30"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-1676\")"	"mediator complex subunit 30 [Source:ZFIN;Acc:ZDB-GENE-040426-1676]"
"7351"	"ENSDARG00000091699"	"capn2a"	"capn2a"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050320-69\")"	"calpain 2, (m/II) large subunit a [Source:ZFIN;Acc:ZDB-GENE-050320-69]"
"7353"	"ENSDARG00000099148"	"bzw1b"	"bzw1b"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-2881\")"	"basic leucine zipper and W2 domains 1b [Source:ZFIN;Acc:ZDB-GENE-040426-2881]"
"7361"	"ENSDARG00000090228"	"gsta.1"	"gsta.1"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-2720\")"	"glutathione S-transferase, alpha tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-040426-2720]"
"7387"	"ENSDARG00000054473"	"tinf2"	"tinf2"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-6168\")"	"TERF1 (TRF1)-interacting nuclear factor 2 [Source:ZFIN;Acc:ZDB-GENE-030131-6168]"
"7405"	"ENSDARG00000036194"	"pitx2"	"pitx2"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-990714-27\")"	"paired-like homeodomain 2 [Source:ZFIN;Acc:ZDB-GENE-990714-27]"
"7425"	"ENSDARG00000102776"	"cxcl19"	"cxcl19"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-140708-2\")"	"chemokine (C-X-C motif) ligand 19 [Source:ZFIN;Acc:ZDB-GENE-140708-2]"
